t_local,ship_inbound,ship_length,ship_width,ship_draft,ship_sp_abs,ship_sp_rel,ship_acc,ship_blockage,ship_Fr,ship_dist_inst,ship_dist_shore,track_raw_dx,tidal_stage,tidal_current_wrt_ship,channel_top_width,channel_max_depth,channel_mean_depth,channel_cs,depression,H,peak_vel_withship,peak_vel_agship,peak_vel_onshore,peak_vel_offshore,peak_Efmag_long,peak_Efmag_cross,peak_Efmag_total,wave_energy,track_raw_nMC,track_raw_nUSACE
10/14/2017 15:44:49,0,335,43,12.22,4.81,5.5,-0.239,0.0775,0.425,303,382,31,1.05,-0.69,663,17.07,10.16,6748,43,74,32,79,40,16,15.94,3.31,16.03,0.77,10,93
10/14/2017 18:04:12,0,220,32,8.56,6.02,5.74,-0.131,0.0408,0.443,284,363,417,1.09,0.29,663,17.12,10.21,6780,15,26,10,28,15,9,1.65,0.64,1.65,0.12,7,0
10/14/2017 18:56:34,0,294,32,11.46,6.81,6.01,0.108,0.0563,0.468,292,369,62,0.76,0.8,659,16.78,9.93,6557,27,48,15,56,22,19,5.23,1.23,5.24,0.35,6,47
10/14/2017 20:15:40,0,335,46,12.57,7.08,5.94,-0.116,0.093,0.471,282,342,465,0.19,1.14,641,16.22,9.65,6192,68,109,24,114,55,46,13.4,7.07,14.52,1.42,7,0
10/14/2017 20:49:28,0,366,48,11.28,6.83,5.75,0.046,0.0902,0.46,296,350,59,-0.07,1.08,634,15.96,9.49,6023,75,113,27,120,49,41,16.02,6.34,16.57,1.42,7,52
10/15/2017 01:12:20,0,270,35,10.26,7.31,7.85,-0.024,0.0626,0.637,291,333,43,-0.52,-0.54,614,15.5,9.34,5741,139,170,56,189,69,130,42.17,22.63,46.61,3.19,6,72
10/15/2017 03:50:57,1,299,48,11.38,7.12,6.42,-0.014,0.0835,0.5,269,346,92,0.77,0.7,659,16.8,9.94,6565,71,113,66,101,44,60,19.48,13.36,23.19,1.34,6,29
10/15/2017 04:10:39,1,302,43,12.34,6.81,6.13,-0.032,0.0808,0.476,263,341,67,0.86,0.68,660,16.89,10.03,6627,46,70,53,71,24,33,10.64,5.03,11.72,0.65,7,45
10/15/2017 04:44:16,1,292,32,11,7.51,7.03,0.2,0.0529,0.544,256,335,478,0.99,0.48,662,17.02,10.13,6715,65,96,61,81,28,43,20.04,9.18,21.8,1.01,6,0
10/15/2017 08:44:42,1,334,43,11,5.76,6.81,0.02,0.0768,0.541,283,342,57,0.12,-1.05,639,16.15,9.6,6146,89,138,95,169,80,45,42.52,10.49,42.97,2.52,8,53
10/15/2017 21:54:25,0,193,28,8.46,7.78,6.62,-0.003,0.0396,0.531,278,328,487,-0.21,1.16,630,15.82,9.41,5935,24,38,9,41,26,24,1.53,1.7,2.04,0.17,7,0
10/16/2017 03:01:39,1,292,32,11.76,7.66,6.98,0.18,0.064,0.56,291,342,70,-0.2,0.69,631,15.83,9.41,5941,70,113,86,102,58,59,20.01,9.19,20.03,1.34,6,91
10/16/2017 04:12:54,1,294,32,10.19,6.77,6.09,0.057,0.0514,0.478,297,364,69,0.48,0.69,649,16.51,9.81,6378,22,35,25,45,8,13,2.83,0.83,2.83,0.18,6,43
10/16/2017 04:29:43,0,292,32,11.76,6.33,7.1,0.115,0.0589,0.556,290,360,406,0.59,-0.78,652,16.62,9.88,6450,53,93,38,95,32,46,20.05,4.21,20.22,1.24,8,0
10/16/2017 05:54:47,0,334,43,11.61,5.27,5.72,0.079,0.0738,0.442,275,354,54,1.03,-0.45,663,17.06,10.14,6738,39,53,8,72,20,9,10.47,2.25,10.55,0.53,9,56
10/16/2017 12:07:49,0,200,32,7.01,7.34,6.89,-0.081,0.0426,0.572,291,321,42,-1.24,0.45,593,14.79,8.94,5310,36,54,4,63,27,27,2.5,1.53,2.66,0.24,7,81
10/16/2017 12:46:42,0,302,43,12.37,4.67,4.3,-0.135,0.1025,0.358,294,322,45,-1.36,0.37,591,14.66,8.85,5236,25,39,10,50,10,14,1.19,0.44,1.19,0.16,10,65
10/16/2017 13:05:24,0,334,43,10.8,4.49,4.68,-0.053,0.0884,0.39,316,344,45,-1.36,-0.19,591,14.67,8.86,5241,19,32,4,47,8,6,1.19,0.15,1.2,0.12,10,68
10/16/2017 14:49:05,1,200,32,9.5,6.66,6.01,0.013,0.0536,0.488,267,308,60,-0.57,0.65,613,15.46,9.31,5714,19,30,23,37,12,8,2.36,0.44,2.37,0.08,6,50
10/16/2017 15:27:47,1,300,48,11.68,6.77,6.02,0.023,0.0943,0.482,277,329,68,-0.15,0.75,631,15.87,9.45,5972,72,107,79,134,48,55,17.43,7.96,17.65,1.32,6,44
10/16/2017 15:48:16,1,325,43,9.58,7.02,6.23,0.065,0.067,0.496,286,343,47,0.07,0.78,638,16.1,9.57,6114,39,72,74,79,18,29,13.21,2.45,13.22,0.72,7,64
10/16/2017 17:40:38,0,108,18,5.79,4.64,5.39,-0.042,0.0158,0.417,278,356,48,0.95,-0.75,662,16.97,10.08,6682,1,1,6,3,2,7,0.07,0.04,0.08,0,10,59
10/16/2017 19:47:22,1,146,24,9.53,6.13,6.74,0.081,0.0334,0.52,291,370,61,1.09,-0.61,663,17.11,10.2,6775,8,17,13,14,6,6,1.48,0.16,1.49,0.03,7,51
10/17/2017 01:54:08,1,241,32,10.19,6.67,6.32,0.092,0.0603,0.521,281,314,426,-1.01,0.36,599,15.01,9.08,5445,79,122,95,115,89,37,14.82,7.89,14.96,0.95,7,0
